Days,TS_T,Level_T,Trend_T,Prediction_T,TS_M,Level_M,Trend_M,Prediction_M
1,77.6237623762381,77.6237623762381,0,76.799946457359,77.2994129158505,77.2994129158505,0,75.6021662794502
2,44.0151364270059,70.9020371863917,-0.672172518984644,68.6974448077536,50.5324298160689,71.9460162958942,-0.535339661995631,71.3834908417225
3,55.3182835062026,67.2475484351662,-0.970404142208731,65.1440797336093,47.0025891256716,66.5290591322532,-1.02350141216017,66.9798879350906
4,51.6403402187125,63.3497834781084,-1.26314022369363,62.2633667277359,46.0618145563299,61.6168090873404,-1.41237627543543,60.5388108533252
5,51.1467424396189,59.8986630914556,-1.48193823998955,59.4814620285042,39.1908975979772,56.0017257691194,-1.83264697971399,54.6248926776304
6,52.5054901177876,57.2344779047304,-1.60016293466312,55.8995512952485,43.6303766207031,52.061338355665,-2.04342102308803,48.9975253966228
7,50.3423278292388,54.5759175419016,-1.70600267747969,50.4716671375417,44.2280381416116,48.8599414943839,-2.15921860690734,47.8485486533268
8,60.1028074337673,54.316493378291,-1.56134482609278,49.4545467002802,52.8942115768465,47.9394206253505,-2.03534883311994,44.5513566314881
9,55.0610639619123,53.216331634141,-1.5152265178985,52.745245153763,52.7086383601762,47.2649851058197,-1.89925750176103,42.7062719513637
10,53.5494460402139,52.0707733010368,-1.47825969941907,52.077596237978,103.561869466749,57.0049559765968,-0.735334664507219,55.5519190430685
11,52.4243680066308,50.9588844826204,-1.44162261131881,48.0347209413947,45.0599421248457,54.0276854746408,-0.959528248252095,55.053130420719
12,49.0033222591371,49.4144739488687,-1.45190140356209,46.6968046958973,45.331669785819,51.5208597382747,-1.11425799706349,50.3229798084365
13,47.96257,47.9625720362453,-1.45190145446823,44.5031978534778,50.4066,50.406601392969,-1.11425803188771,49.457599756689
14,49.8698177448433,47.1825000143903,-1.3847185112069,44.3870172900176,45.2716297786723,48.4882006445995,-1.19467230353589,46.9149128445133
15,49.581839904421,46.5545931834309,-1.30903734318215,44.4903779330728,45.5265241488513,46.9401275026211,-1.23001238738014,45.1515508524166
