Days,pHT,AlkalinityT,BiogasT,TS_T,pHM,AlkalinityM,BiogasM,TS_M,,Level_T,Trend_T,Prediction_T,[e]_T,[e^2]_T,Forecast_T,,Level_M,Trend_M,Prediction_M,[e]_M,[e^2]_M,Forecast_M
1,5.93,3080,0,77.6237623762381,6.18,5265,0,77.2994129158505,,77.6237623762381,0,77.6237623762381,0,0,,,77.2994129158505,0,77.2994129158505,0,0,
2,5.8,4440,0.22,44.0151364270059,5.8,5575,0.89,50.5324298160689,,70.9020371863917,-0.672172518984644,70.229864667407,-26.2147282404011,687.211976718085,77.6237623762381,,71.9460162958942,-0.535339661995631,71.4106766338985,-20.8782468178296,435.901190186214,77.2994129158505
3,6.04,4030,2.99,55.3182835062026,5.9,5900,2.99,47.0025891256716,,67.2475484351662,-0.970404142208731,66.2771442929574,-10.9588607867548,120.096629743472,70.229864667407,,66.5290591322532,-1.02350141216017,65.505557720093,-18.5029685944214,342.359846806144,71.4106766338985
4,6.63,3540,6.03,51.6403402187125,6.5,3910,6.99,46.0618145563299,,63.3497834781084,-1.26314022369363,62.0866432544148,-10.4463030357023,109.125247113723,66.2771442929574,,61.6168090873404,-1.41237627543543,60.2044328119049,-14.142618255575,200.013651122924,65.505557720093
5,6.66,4950,2.56,51.1467424396189,6.53,4440,0.98,39.1908975979772,,59.8986630914556,-1.48193823998955,58.4167248514661,-7.26998241184718,52.8526442685674,62.0866432544148,,56.0017257691194,-1.83264697971399,54.1690787894054,-14.9781811914282,224.345911803254,60.2044328119049
6,6.55,5000,0.47,52.5054901177876,6.45,5000,0.63,43.6303766207031,,57.2344779047304,-1.60016293466312,55.6343149700673,-3.12882485227966,9.78954495624286,58.4167248514661,,52.061338355665,-2.04342102308803,50.0179173325769,-6.38754071187383,40.8006763458456,54.1690787894054
7,6.38,4070,0.61,50.3423278292388,6.27,4330,1.41,44.2280381416116,,54.5759175419016,-1.70600267747969,52.8699148644219,-2.52758703518309,6.38869622042564,55.6343149700673,,48.8599414943839,-2.15921860690734,46.7007228874765,-2.47268474586493,6.11416985243312,50.0179173325769
8,5.86,5000,0,60.1028074337673,5.8,4100,0,52.8942115768465,,54.316493378291,-1.56134482609278,52.7551485521982,7.34765888156911,53.9880910399014,52.8699148644219,,47.9394206253505,-2.03534883311994,45.9040717922306,6.99013978461591,48.8620542084702,46.7007228874765
9,5.52,3470,0.3,55.0610639619123,5.52,5000,0.575,52.7086383601762,,53.216331634141,-1.5152265178985,51.7011051162425,3.35995884566978,11.2893234445946,52.7551485521982,,47.2649851058197,-1.89925750176103,45.3657276040587,7.34291075611751,53.9183383723062,45.9040717922306
10,5.52,5000,0.25,53.5494460402139,5.71,5000,0.585,103.561869466749,,52.0707733010368,-1.47825969941907,50.5925136016177,2.95693243859617,8.74344944642229,51.7011051162425,,57.0049559765968,-0.735334664507219,56.2696213120895,47.2922481546595,2236.55673552189,45.3657276040587
11,5.79,4650,0.23,52.4243680066308,5.76,4940,1.47,45.0599421248457,,50.9588844826204,-1.44162261131881,49.5172618713015,2.90710613532926,8.45126608206901,50.5925136016177,,54.0276854746408,-0.959528248252095,53.0681572263887,-8.00821510154298,64.131509112581,56.2696213120895
12,6.04,4430,0.66,49.0033222591371,6.1,3920,2.11,45.331669785819,,49.4144739488687,-1.45190140356209,47.9625725453066,1.04074971383054,1.08315996683834,49.5172618713015,,51.5208597382747,-1.11425799706349,50.4066017412113,-5.07493195539225,25.7549343518614,53.0681572263887
13,6.33,4750,0.58,47.96257,6.53,4470,5.68,50.4066,,47.9625720362453,-1.45190145446823,46.510670581777,1.45189941822297,2.1080119206362,47.9625725453066,,50.406601392969,-1.11425803188771,49.2923433610813,1.11425663891871,1.24156785737442,50.4066017412113
14,6.72,5000,4.15,49.8698177448433,6.53,4900,2.03,45.2716297786723,,47.1825000143903,-1.3847185112069,45.7977815031834,4.07203624165992,16.5814791533918,46.510670581777,,48.4882006445995,-1.19467230353589,47.2935283410636,-2.0218985623913,4.08807379660001,49.2923433610813
15,6.11,4930,0,49.581839904421,5.76,4820,0,45.5265241488513,,46.5545931834309,-1.30903734318215,45.2455558402488,4.33628406417223,18.8033594851941,45.7977815031834,,46.9401275026211,-1.23001238738014,45.710115115241,-0.183590966389701,0.033705642939905,47.2935283410636
16,5.92,3740,0.475,71.9353567205352,5.63,4870,0.475,66.8902920284133,,50.5835160163061,-0.775241325576418,49.8082746907296,22.1270820298056,489.607759153744,45.2455558402488,,49.9461504978755,-0.806408849116693,49.1397416487588,17.7505503796545,315.082038780653,45.710115115241
17,5.92,4030,0.385,72.2137983320697,5.64,4510,0.385,65.4510556621883,,54.2893794189977,-0.327130852749617,53.962248566248,18.2515497658217,333.119068854265,49.8082746907296,,52.4020044514447,-0.480182568848102,51.9218218825966,13.5292337795917,183.040166662845,49.1397416487588
18,6.12,4590,0.42,73.8530399104813,5.96,4320,0.96,66.5646518745216,,57.9404068350947,0.070684974135049,58.0110918092297,15.8419481012516,250.967319642748,53.962248566248,,54.8503878809816,-0.187325969009602,54.663061911972,11.9015899625496,141.647843636662,51.9218218825966
19,6.29,3920,0.49,71.4689798227416,6.43,4120,2.14,65.1491365777082,,60.7026694119321,0.339842734405287,61.0425121463374,10.4264676764042,108.711228207101,58.0110918092297,,56.7602768451192,0.022395524305124,56.7826723694244,8.36646420828384,69.9977233484946,54.663061911972
20,6.49,3100,0.56,68.6619718309857,6.47,4400,5.6,61.6317746037966,,62.5664040832671,0.492231928098253,63.0586360113653,5.60333581962038,31.3973723074408,61.0425121463374,,57.7524928162988,0.119377568992569,57.8718703852914,3.75990421850522,14.1368797323333,56.7826723694244
21,6.63,3170,4.35,63.05864,6.53,5000,2.53,57.8718703852914,,63.0586368090923,0.492232007870947,63.5508688169632,-0.492228816963213,0.242289208249004,63.0586360113653,,57.8718703852914,0.119377568992569,57.991247954284,-0.119377568992576,0.014251003978577,57.8718703852914
22,6.02,2780,0,63.55087,5.94,3070,0,57.991247954284,,63.5508690535706,0.492232031531683,64.0431010851023,-0.492231085102247,0.242291441140936,63.5508688169632,,57.991247954284,0.11937756899257,58.1106255232765,-0.119377568992576,0.014251003978577,57.991247954284
23,6.22,3590,0.57,63.9421196714897,5.79,3620,0.57,55.4687499999997,,64.0229048023797,0.490212403259432,64.5131172056392,-0.570997534149477,0.326038184004783,64.0431010851023,,57.5822504186212,0.066540058527034,57.6487904771482,-2.1800404771485,4.75257648200587,58.1106255232765
24,6.17,4140,0.36,63.0736184338998,5.89,3600,0.36,57.7786453250048,,64.2252174512913,0.461422427824646,64.686639879116,-1.61302144521616,2.60183818272721,64.5131172056392,,57.6747614467195,0.069137155484166,57.7438986022037,0.03474672280111,0.001207334745417,57.6487904771482
25,6.32,3950,0.29,61.5656963021247,6.56,3920,1.99,58.5717065576964,,64.0624511637177,0.399003556284821,64.4614547200025,-2.89575841787784,8.38541681471035,64.686639879116,,57.9094601933022,0.085693314594021,57.9951535078963,0.576553049800147,0.33241341923385,57.7438986022037
26,6.39,4730,0.33,56.2095838169456,6.88,4020,0.69,54.1910331384014,,62.8110805393912,0.233966138223683,63.0450466776148,-6.83546286066923,46.7235525195884,64.4614547200025,,57.2343294339973,0.009610907204124,57.2439403412014,-3.05290720280001,9.32024238890817,57.9951535078963
27,6.41,3470,0.74,56.1996462959314,6.54,4500,0.74,52.6936689,,61.6759666012782,0.097058130590015,61.7730247318682,-5.57337843593677,31.062547190165,63.0450466776148,,56.3338860529611,-0.081394521619904,56.2524915313412,-3.55882263134123,12.6652185213465,57.2439403412014
28,6.02,4970,4.36,57.4397177024112,6.59,4620,5.52,51.5139598898925,,60.9063633259768,0.010391990000876,60.9167553159777,-3.47703761356645,12.0897905661559,61.7730247318682,,55.3047852030515,-0.176165154448879,55.1286200486026,-3.61466015871011,13.0657680629662,56.2524915313412
29,5.99,5450,0,60.91676,5.92,5500,0,55.1286200486026,,60.9167562527821,0.010392083681323,60.9271483364635,-0.01038833646345,0.000107917534478,60.9167553159777,,55.1286200486026,-0.176165154448879,54.9524548941537,0.176165154448881,0.031034161641998,55.1286200486026
30,6.18,3290,1.13,53.5853468433357,6.44,5000,4.28,50.3837827199371,,59.4587880378379,-0.136443946181232,59.3223440916567,-5.73699724832097,32.9131374272424,60.9271483364635,,54.0387204593104,-0.267538597933211,53.7711818613772,-3.38739914144009,11.4744729434291,54.9524548941537
31,6.46,3320,3.2,53.3901745838404,6.56,4750,3.87,49.9494438827098,,58.1359101900934,-0.255087336337557,57.8808228537559,-4.49064826991545,20.1659218840947,59.3223440916567,,53.0068342656437,-0.343973357506559,52.6628609081372,-2.71341702542736,7.36263195387907,53.7711818613772
32,6.52,4270,0.56,60.4651162790696,6,4090,1.41,52.1961788457752,,58.3976815388186,-0.203401467831283,58.1942800709873,2.27083620808228,5.15669708393751,57.8808228537559,,52.5695244956648,-0.353306998753797,52.216217496911,-0.020038651135778,0.000401547539341,52.6628609081372
